player_a,x,y,player_b,pass_count
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Amine Adli,2
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Edmond Fayçal Tapsoba,18
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Florian Wirtz,17
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Granit Xhaka,11
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Jonas Hofmann,6
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Jonathan Tah,1
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Odilon Kossonou,3
Alejandro Grimaldo García,74.67941176470588,13.570588235294117,Robert Andrich,7
Amine Adli,67.65384615384616,38.184615384615384,Edmond Fayçal Tapsoba,2
Amine Adli,67.65384615384616,38.184615384615384,Florian Wirtz,6
Amine Adli,67.65384615384616,38.184615384615384,Granit Xhaka,9
Amine Adli,67.65384615384616,38.184615384615384,Jeremie Frimpong,1
Amine Adli,67.65384615384616,38.184615384615384,Jonas Hofmann,5
Amine Adli,67.65384615384616,38.184615384615384,Lukáš Hrádecký,1
Amine Adli,67.65384615384616,38.184615384615384,Odilon Kossonou,3
Amine Adli,67.65384615384616,38.184615384615384,Robert Andrich,2
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Florian Wirtz,8
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Granit Xhaka,20
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Jeremie Frimpong,1
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Jonas Hofmann,1
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Jonathan Tah,16
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Lukáš Hrádecký,2
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Odilon Kossonou,3
Edmond Fayçal Tapsoba,54.85208333333333,21.683333333333334,Robert Andrich,21
Florian Wirtz,77.19375,31.0875,Granit Xhaka,12
Florian Wirtz,77.19375,31.0875,Jeremie Frimpong,8
Florian Wirtz,77.19375,31.0875,Jonas Hofmann,8
Florian Wirtz,77.19375,31.0875,Jonathan Tah,4
Florian Wirtz,77.19375,31.0875,Odilon Kossonou,3
Florian Wirtz,77.19375,31.0875,Robert Andrich,8
Granit Xhaka,61.23090909090909,38.736363636363635,Jeremie Frimpong,10
Granit Xhaka,61.23090909090909,38.736363636363635,Jonas Hofmann,3
Granit Xhaka,61.23090909090909,38.736363636363635,Jonathan Tah,14
Granit Xhaka,61.23090909090909,38.736363636363635,Lukáš Hrádecký,4
Granit Xhaka,61.23090909090909,38.736363636363635,Odilon Kossonou,11
Granit Xhaka,61.23090909090909,38.736363636363635,Robert Andrich,17
Jeremie Frimpong,71.21785714285714,65.48571428571428,Jonas Hofmann,10
Jeremie Frimpong,71.21785714285714,65.48571428571428,Jonathan Tah,5
Jeremie Frimpong,71.21785714285714,65.48571428571428,Odilon Kossonou,15
Jeremie Frimpong,71.21785714285714,65.48571428571428,Robert Andrich,8
Jonas Hofmann,72.524,52.508,Jonathan Tah,4
Jonas Hofmann,72.524,52.508,Lukáš Hrádecký,2
Jonas Hofmann,72.524,52.508,Odilon Kossonou,9
Jonas Hofmann,72.524,52.508,Robert Andrich,6
Jonathan Tah,54.373684210526314,43.77105263157895,Lukáš Hrádecký,1
Jonathan Tah,54.373684210526314,43.77105263157895,Odilon Kossonou,12
Jonathan Tah,54.373684210526314,43.77105263157895,Robert Andrich,10
Lukáš Hrádecký,9.459999999999999,42.28,Odilon Kossonou,3
Lukáš Hrádecký,9.459999999999999,42.28,Robert Andrich,3
Odilon Kossonou,52.054054054054056,65.17567567567568,Robert Andrich,11
