player_a,x,y,player_b,pass_count
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Edmond Fayçal Tapsoba,16
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Exequiel Alejandro Palacios,4
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Florian Wirtz,4
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Granit Xhaka,15
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Jonas Hofmann,12
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Jonathan Tah,4
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Lukáš Hrádecký,4
Alejandro Grimaldo García,61.415789473684214,13.857894736842105,Victor Okoh Boniface,7
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Exequiel Alejandro Palacios,16
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Florian Wirtz,2
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Granit Xhaka,17
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Jonas Hofmann,11
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Jonathan Tah,17
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Lukáš Hrádecký,3
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Odilon Kossonou,8
Edmond Fayçal Tapsoba,50.172340425531914,27.472340425531915,Victor Okoh Boniface,3
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Florian Wirtz,9
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Granit Xhaka,35
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Jeremie Frimpong,8
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Jonas Hofmann,6
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Jonathan Tah,18
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Lukáš Hrádecký,2
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Odilon Kossonou,20
Exequiel Alejandro Palacios,60.04677419354839,47.670967741935485,Victor Okoh Boniface,2
Florian Wirtz,74.39047619047619,45.37619047619047,Granit Xhaka,12
Florian Wirtz,74.39047619047619,45.37619047619047,Jeremie Frimpong,6
Florian Wirtz,74.39047619047619,45.37619047619047,Jonas Hofmann,4
Florian Wirtz,74.39047619047619,45.37619047619047,Jonathan Tah,1
Florian Wirtz,74.39047619047619,45.37619047619047,Odilon Kossonou,5
Florian Wirtz,74.39047619047619,45.37619047619047,Victor Okoh Boniface,3
Granit Xhaka,61.53015873015873,38.45873015873016,Jeremie Frimpong,1
Granit Xhaka,61.53015873015873,38.45873015873016,Jonas Hofmann,12
Granit Xhaka,61.53015873015873,38.45873015873016,Jonathan Tah,21
Granit Xhaka,61.53015873015873,38.45873015873016,Lukáš Hrádecký,2
Granit Xhaka,61.53015873015873,38.45873015873016,Odilon Kossonou,12
Granit Xhaka,61.53015873015873,38.45873015873016,Victor Okoh Boniface,1
Jeremie Frimpong,80.675,69.64375,Jonas Hofmann,3
Jeremie Frimpong,80.675,69.64375,Jonathan Tah,1
Jeremie Frimpong,80.675,69.64375,Lukáš Hrádecký,1
Jeremie Frimpong,80.675,69.64375,Odilon Kossonou,14
Jeremie Frimpong,80.675,69.64375,Victor Okoh Boniface,3
Jonas Hofmann,71.78518518518518,21.585185185185182,Jonathan Tah,3
Jonas Hofmann,71.78518518518518,21.585185185185182,Lukáš Hrádecký,1
Jonas Hofmann,71.78518518518518,21.585185185185182,Odilon Kossonou,1
Jonas Hofmann,71.78518518518518,21.585185185185182,Victor Okoh Boniface,5
Jonathan Tah,53.31224489795919,50.542857142857144,Lukáš Hrádecký,5
Jonathan Tah,53.31224489795919,50.542857142857144,Odilon Kossonou,22
Lukáš Hrádecký,13.76875,41.2,Odilon Kossonou,3
Lukáš Hrádecký,13.76875,41.2,Victor Okoh Boniface,2
Odilon Kossonou,57.29761904761905,64.7642857142857,Victor Okoh Boniface,2
