player_a,x,y,player_b,pass_count
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Edmond Fayçal Tapsoba,33
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Exequiel Alejandro Palacios,11
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Florian Wirtz,22
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Granit Xhaka,11
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Jeremie Frimpong,5
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Jonas Hofmann,3
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Jonathan Tah,3
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Lukáš Hrádecký,4
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Odilon Kossonou,2
Alejandro Grimaldo García,71.83653846153847,12.93846153846154,Victor Okoh Boniface,7
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Exequiel Alejandro Palacios,33
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Florian Wirtz,18
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Granit Xhaka,31
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Jonas Hofmann,5
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Jonathan Tah,22
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Lukáš Hrádecký,7
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Odilon Kossonou,10
Edmond Fayçal Tapsoba,58.35294117647059,21.685882352941174,Victor Okoh Boniface,7
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Florian Wirtz,24
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Granit Xhaka,45
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Jeremie Frimpong,15
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Jonas Hofmann,16
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Jonathan Tah,13
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Lukáš Hrádecký,3
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Odilon Kossonou,22
Exequiel Alejandro Palacios,66.55742574257425,41.808910891089106,Victor Okoh Boniface,15
Florian Wirtz,77.754,30.077999999999996,Granit Xhaka,15
Florian Wirtz,77.754,30.077999999999996,Jeremie Frimpong,3
Florian Wirtz,77.754,30.077999999999996,Jonas Hofmann,8
Florian Wirtz,77.754,30.077999999999996,Jonathan Tah,3
Florian Wirtz,77.754,30.077999999999996,Odilon Kossonou,4
Florian Wirtz,77.754,30.077999999999996,Victor Okoh Boniface,7
Granit Xhaka,64.73370786516854,39.08651685393258,Jeremie Frimpong,5
Granit Xhaka,64.73370786516854,39.08651685393258,Jonas Hofmann,19
Granit Xhaka,64.73370786516854,39.08651685393258,Jonathan Tah,22
Granit Xhaka,64.73370786516854,39.08651685393258,Lukáš Hrádecký,3
Granit Xhaka,64.73370786516854,39.08651685393258,Odilon Kossonou,16
Granit Xhaka,64.73370786516854,39.08651685393258,Victor Okoh Boniface,7
Jeremie Frimpong,77.4609756097561,66.55121951219512,Jonas Hofmann,16
Jeremie Frimpong,77.4609756097561,66.55121951219512,Jonathan Tah,2
Jeremie Frimpong,77.4609756097561,66.55121951219512,Lukáš Hrádecký,2
Jeremie Frimpong,77.4609756097561,66.55121951219512,Odilon Kossonou,26
Jeremie Frimpong,77.4609756097561,66.55121951219512,Victor Okoh Boniface,11
Jonas Hofmann,80.96304347826087,62.071739130434786,Jonathan Tah,6
Jonas Hofmann,80.96304347826087,62.071739130434786,Lukáš Hrádecký,1
Jonas Hofmann,80.96304347826087,62.071739130434786,Odilon Kossonou,26
Jonathan Tah,48.70925925925926,46.170370370370364,Lukáš Hrádecký,6
Jonathan Tah,48.70925925925926,46.170370370370364,Odilon Kossonou,27
Lukáš Hrádecký,13.878947368421052,41.9,Odilon Kossonou,6
Odilon Kossonou,62.638356164383566,60.18356164383561,Victor Okoh Boniface,1
