player_a,x,y,player_b,pass_count
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Amine Adli,17
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Florian Wirtz,17
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Granit Xhaka,15
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Jeremie Frimpong,2
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Jonathan Tah,5
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Josip Stanišić,1
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Lukáš Hrádecký,4
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Patrik Schick,7
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Piero Martín Hincapié Reyna,28
Alejandro Grimaldo García,65.66153846153847,13.057692307692308,Robert Andrich,9
Amine Adli,72.46,20.84285714285714,Florian Wirtz,19
Amine Adli,72.46,20.84285714285714,Granit Xhaka,10
Amine Adli,72.46,20.84285714285714,Jeremie Frimpong,4
Amine Adli,72.46,20.84285714285714,Jonathan Tah,2
Amine Adli,72.46,20.84285714285714,Josip Stanišić,4
Amine Adli,72.46,20.84285714285714,Patrik Schick,6
Amine Adli,72.46,20.84285714285714,Piero Martín Hincapié Reyna,10
Amine Adli,72.46,20.84285714285714,Robert Andrich,5
Florian Wirtz,71.28372093023255,35.37906976744186,Granit Xhaka,16
Florian Wirtz,71.28372093023255,35.37906976744186,Jeremie Frimpong,11
Florian Wirtz,71.28372093023255,35.37906976744186,Jonathan Tah,10
Florian Wirtz,71.28372093023255,35.37906976744186,Josip Stanišić,7
Florian Wirtz,71.28372093023255,35.37906976744186,Lukáš Hrádecký,1
Florian Wirtz,71.28372093023255,35.37906976744186,Patrik Schick,10
Florian Wirtz,71.28372093023255,35.37906976744186,Piero Martín Hincapié Reyna,4
Florian Wirtz,71.28372093023255,35.37906976744186,Robert Andrich,5
Granit Xhaka,55.418461538461536,37.6876923076923,Jeremie Frimpong,5
Granit Xhaka,55.418461538461536,37.6876923076923,Jonathan Tah,15
Granit Xhaka,55.418461538461536,37.6876923076923,Josip Stanišić,14
Granit Xhaka,55.418461538461536,37.6876923076923,Lukáš Hrádecký,6
Granit Xhaka,55.418461538461536,37.6876923076923,Patrik Schick,4
Granit Xhaka,55.418461538461536,37.6876923076923,Piero Martín Hincapié Reyna,15
Granit Xhaka,55.418461538461536,37.6876923076923,Robert Andrich,24
Jeremie Frimpong,70.54166666666667,65.55,Jonathan Tah,3
Jeremie Frimpong,70.54166666666667,65.55,Josip Stanišić,13
Jeremie Frimpong,70.54166666666667,65.55,Lukáš Hrádecký,2
Jeremie Frimpong,70.54166666666667,65.55,Patrik Schick,6
Jeremie Frimpong,70.54166666666667,65.55,Robert Andrich,5
Jonathan Tah,39.04347826086956,38.57608695652174,Josip Stanišić,12
Jonathan Tah,39.04347826086956,38.57608695652174,Lukáš Hrádecký,6
Jonathan Tah,39.04347826086956,38.57608695652174,Patrik Schick,1
Jonathan Tah,39.04347826086956,38.57608695652174,Piero Martín Hincapié Reyna,15
Jonathan Tah,39.04347826086956,38.57608695652174,Robert Andrich,14
Josip Stanišić,49.235,61.2975,Lukáš Hrádecký,9
Josip Stanišić,49.235,61.2975,Patrik Schick,1
Josip Stanišić,49.235,61.2975,Piero Martín Hincapié Reyna,7
Josip Stanišić,49.235,61.2975,Robert Andrich,6
Lukáš Hrádecký,12.304347826086957,38.92173913043479,Patrik Schick,5
Lukáš Hrádecký,12.304347826086957,38.92173913043479,Piero Martín Hincapié Reyna,14
Lukáš Hrádecký,12.304347826086957,38.92173913043479,Robert Andrich,2
Patrik Schick,66.71666666666667,40.2,Piero Martín Hincapié Reyna,1
Patrik Schick,66.71666666666667,40.2,Robert Andrich,4
Piero Martín Hincapié Reyna,41.94464285714286,15.158928571428572,Robert Andrich,13
